Genus,Trait_group,Trait,Trait_affinity
Acerpenna,Emerge_season_1,Spring,0.666666667
Acerpenna,Emerge_season_1,Summer,0.111111111
Acerpenna,Emerge_season_1,Winter,0.111111111
Acerpenna,Emerge_season_2,Fall,0.666666667
Acerpenna,Emerge_season_2,Spring,0.166666667
Acerpenna,Emerge_season_2,Summer,0.166666667
Acerpenna,Emerge_synch_abbrev,Poorly,1
Acerpenna,Feed_prim_abbrev,CG,1
Acerpenna,Female_disp_abbrev,Low,1
Acerpenna,Habit_prim,Clinger,0.2
Acerpenna,Habit_prim,Swimmer,0.8
Acerpenna,Habit_sec,Clinger,1
Acerpenna,Max_body_size_abbrev,Small,1
Acerpenna,Resp_abbrev,Gills,1
Acerpenna,Rheophily_abbrev,depo,0.142857143
Acerpenna,Rheophily_abbrev,depo_eros,0.571428571
Acerpenna,Rheophily_abbrev,eros,0.285714286
Acerpenna,Thermal_pref,Cool-warm eurythermal (5-30 C),1
Acerpenna,Voltinism_abbrev,Bi_multivoltine,1
Acilius,Emerge_season_1,Spring,1
Acilius,Emerge_season_2,Summer,1
Acilius,Feed_prim_abbrev,PR,1
Acilius,Habit_prim,Burrower,0.2
Acilius,Habit_prim,Swimmer,0.8
Acilius,Habit_sec,Climber,1
Acilius,Max_body_size_abbrev,Large,0.090909091
Acilius,Max_body_size_abbrev,Medium,0.909090909
Acilius,Resp_abbrev,Tegument,1
Acilius,Rheophily_abbrev,depo,1
Acilius,Thermal_pref,Warm eurythermal (15-30 C),1
Acilius,Voltinism_abbrev,Univoltine,1
Acneus,AdultFlyingStrength_abbrev,Weak,1
Acneus,Emerge_synch_abbrev,Well,1
Acneus,Feed_prim_abbrev,HB,1
Acneus,Female_disp_abbrev,Low,1
Acneus,Habit_prim,Clinger,1
Acneus,Max_body_size_abbrev,Small,1
Acneus,Resp_abbrev,Gills,1
Acneus,Rheophily_abbrev,eros,1
Acneus,Thermal_pref,Cool-warm eurythermal (5-30 C),1
Acneus,Voltinism_abbrev,Univoltine,1
Acricotopus,AdultFlyingStrength_abbrev,Strong,1
Acricotopus,Feed_prim_abbrev,CG,1
Acricotopus,Habit_prim,Sprawler,1
Acricotopus,Max_body_size_abbrev,Small,1
Acricotopus,Resp_abbrev,Tegument,1
Acricotopus,Thermal_pref,Cold-cool eurythermal (0-15 C),1
Acricotopus,Voltinism_abbrev,Bi_multivoltine,0.5
Acricotopus,Voltinism_abbrev,Univoltine,0.5
Acridomyia,Feed_prim_abbrev,PA,1
Acridomyia,Max_body_size_abbrev,Small,1
Acridomyia,Resp_abbrev,Plastron_spiracle,1
Acroneuria,AdultFlyingStrength_abbrev,Strong,1
Acroneuria,Emerge_season_1,Spring,0.9
Acroneuria,Emerge_season_1,Summer,0.1
Acroneuria,Emerge_season_2,Fall,0.111111111
Acroneuria,Emerge_season_2,Summer,0.888888889
Acroneuria,Emerge_synch_abbrev,Poorly,1
Acroneuria,Feed_prim_abbrev,PR,1
Acroneuria,Female_disp_abbrev,High,1
Acroneuria,Habit_prim,Clinger,1
Acroneuria,Max_body_size_abbrev,Large,1
Acroneuria,Resp_abbrev,Gills,1
Acroneuria,Rheophily_abbrev,depo_eros,0.083333333
Acroneuria,Rheophily_abbrev,eros,0.916666667
Acroneuria,Thermal_pref,Cold-cool eurythermal (0-15 C),0.111111111
Acroneuria,Thermal_pref,Cool-warm eurythermal (5-30 C),0.555555556
Acroneuria,Thermal_pref,Warm eurythermal (15-30 C),0.333333333
Acroneuria,Voltinism_abbrev,Semivoltine,0.222222222
Acroneuria,Voltinism_abbrev,Univoltine,0.777777778
Adicrophleps,AdultFlyingStrength_abbrev,Weak,1
Adicrophleps,Emerge_synch_abbrev,Well,1
Adicrophleps,Feed_prim_abbrev,SH,1
Adicrophleps,Female_disp_abbrev,Low,1
Adicrophleps,Habit_prim,Clinger,1
Adicrophleps,Max_body_size_abbrev,Medium,1
Adicrophleps,Resp_abbrev,Tegument,1
Adicrophleps,Rheophily_abbrev,eros,1
Adicrophleps,Thermal_pref,Cold-cool eurythermal (0-15 C),1
Adicrophleps,Voltinism_abbrev,Univoltine,1
Adoxomyia,Max_body_size_abbrev,Medium,1
Aedes,AdultFlyingStrength_abbrev,Strong,0.666666667
Aedes,AdultFlyingStrength_abbrev,Weak,0.333333333
Aedes,Emerge_season_1,Spring,1
Aedes,Emerge_season_2,Fall,1
Aedes,Emerge_synch_abbrev,Well,1
Aedes,Feed_mode_sec,CF,1
Aedes,Feed_prim_abbrev,CG,1
Aedes,Female_disp_abbrev,High,1
Aedes,Habit_prim,Swimmer,1
Aedes,Max_body_size_abbrev,Small,1
Aedes,Resp_abbrev,Plastron_spiracle,1
Aedes,Rheophily_abbrev,depo,1
Aedes,Thermal_pref,Warm eurythermal (15-30 C),1
Aedes,Voltinism_abbrev,Bi_multivoltine,1
Aeshna,AdultFlyingStrength_abbrev,Strong,1
Aeshna,Emerge_season_1,Fall,0.023391813
Aeshna,Emerge_season_1,Spring,0.216374269
Aeshna,Emerge_season_1,Summer,0.760233918
Aeshna,Emerge_season_2,Fall,0.81547619
Aeshna,Emerge_season_2,Summer,0.172619048
Aeshna,Emerge_season_2,Winter,0.011904762
Aeshna,Emerge_synch_abbrev,Well,1
Aeshna,Feed_prim_abbrev,PR,1
Aeshna,Female_disp_abbrev,High,1
Aeshna,Habit_prim,Climber,0.777777778
Aeshna,Habit_prim,Clinger,0.222222222
Aeshna,Habit_sec,Sprawler,0.666666667
Aeshna,Habit_sec,Swimmer,0.333333333
Aeshna,Max_body_size_abbrev,Large,1
Aeshna,Resp_abbrev,Gills,1
Aeshna,Rheophily_abbrev,depo,0.939189189
Aeshna,Rheophily_abbrev,depo_eros,0.060810811
Aeshna,Thermal_pref,Cool-warm eurythermal (5-30 C),0.375
Aeshna,Thermal_pref,Warm eurythermal (15-30 C),0.625
Aeshna,Voltinism_abbrev,Semivoltine,0.947368421
Aeshna,Voltinism_abbrev,Univoltine,0.052631579
Agabetes,Feed_prim_abbrev,PR,1
Agabetes,Max_body_size_abbrev,Small,1
Agabinus,Feed_prim_abbrev,PR,1
Agabinus,Habit_prim,Swimmer,1
Agabinus,Rheophily_abbrev,depo_eros,1
Agabus,AdultFlyingStrength_abbrev,Strong,1
Agabus,Emerge_season_1,Spring,0.333333333
Agabus,Emerge_season_1,Summer,0.666666667
Agabus,Emerge_season_2,Summer,1
Agabus,Emerge_synch_abbrev,Poorly,1
Agabus,Feed_prim_abbrev,PR,1
Agabus,Female_disp_abbrev,High,1
Agabus,Habit_prim,Burrower,0.083333333
Agabus,Habit_prim,Swimmer,0.916666667
Agabus,Habit_sec,Climber,1
Agabus,Max_body_size_abbrev,Medium,0.333333333
Agabus,Max_body_size_abbrev,Small,0.666666667
Agabus,Resp_abbrev,Plastron_spiracle,0.5
Agabus,Resp_abbrev,Tegument,0.5
Agabus,Rheophily_abbrev,depo,0.25
Agabus,Rheophily_abbrev,depo_eros,0.75
Agabus,Thermal_pref,Cold stenothermal (<5 C),0.2
Agabus,Thermal_pref,Cool-warm eurythermal (5-30 C),0.1
Agabus,Thermal_pref,Warm eurythermal (15-30 C),0.7
Agabus,Voltinism_abbrev,Semivoltine,0.3
Agabus,Voltinism_abbrev,Univoltine,0.7
Agapetus,AdultFlyingStrength_abbrev,Weak,1
Agapetus,Emerge_season_1,Spring,0.612903226
Agapetus,Emerge_season_1,Summer,0.387096774
Agapetus,Emerge_season_2,Fall,0.066666667
Agapetus,Emerge_season_2,Spring,0.466666667
Agapetus,Emerge_season_2,Summer,0.466666667
Agapetus,Emerge_synch_abbrev,Well,1
Agapetus,Feed_mode_sec,CG,0.333333333
Agapetus,Feed_mode_sec,HB,0.666666667
Agapetus,Feed_prim_abbrev,CF,0.1
Agapetus,Feed_prim_abbrev,CG,0.1
Agapetus,Feed_prim_abbrev,HB,0.8
Agapetus,Female_disp_abbrev,Low,1
Agapetus,Habit_prim,Clinger,1
Agapetus,Max_body_size_abbrev,Small,1
Agapetus,Resp_abbrev,Tegument,1
Agapetus,Rheophily_abbrev,eros,1
Agapetus,Thermal_pref,Cold-cool eurythermal (0-15 C),0.571428571
Agapetus,Thermal_pref,Cool-warm eurythermal (5-30 C),0.285714286
Agapetus,Thermal_pref,Warm eurythermal (15-30 C),0.142857143
Agapetus,Voltinism_abbrev,Univoltine,1
Agarodes,Emerge_season_1,Summer,1
Agarodes,Emerge_season_2,Summer,1
Agarodes,Emerge_synch_abbrev,Well,1
Agarodes,Feed_prim_abbrev,SH,1
Agarodes,Habit_prim,Burrower,0.4
Agarodes,Habit_prim,Sprawler,0.6
Agarodes,Max_body_size_abbrev,Medium,1
Agarodes,Resp_abbrev,Gills,1
Agarodes,Rheophily_abbrev,depo,0.5
Agarodes,Rheophily_abbrev,depo_eros,0.25
Agarodes,Rheophily_abbrev,eros,0.25
Agarodes,Thermal_pref,Cold-cool eurythermal (0-15 C),1
Agarodes,Voltinism_abbrev,Univoltine,1
Agathon,AdultFlyingStrength_abbrev,Weak,1
Agathon,Emerge_synch_abbrev,Well,1
Agathon,Feed_prim_abbrev,HB,1
Agathon,Female_disp_abbrev,Low,1
Agathon,Habit_prim,Clinger,1
Agathon,Max_body_size_abbrev,Small,1
Agathon,Resp_abbrev,Gills,1
Agathon,Rheophily_abbrev,depo_eros,1
Agathon,Thermal_pref,Cold-cool eurythermal (0-15 C),1
Agathon,Voltinism_abbrev,Univoltine,1
Agnetina,AdultFlyingStrength_abbrev,Strong,1
Agnetina,Emerge_season_1,Spring,0.75
Agnetina,Emerge_season_1,Summer,0.25
Agnetina,Emerge_season_2,Summer,1
Agnetina,Emerge_synch_abbrev,Poorly,0.8
Agnetina,Emerge_synch_abbrev,Well,0.2
Agnetina,Feed_prim_abbrev,PR,1
Agnetina,Female_disp_abbrev,High,1
Agnetina,Habit_prim,Clinger,1
Agnetina,Max_body_size_abbrev,Large,1
Agnetina,Resp_abbrev,Gills,1
Agnetina,Rheophily_abbrev,eros,1
Agnetina,Thermal_pref,Cool-warm eurythermal (5-30 C),1
Agnetina,Voltinism_abbrev,Semivoltine,1
Agraylea,AdultFlyingStrength_abbrev,Weak,1
Agraylea,Emerge_season_1,Spring,0.428571429
Agraylea,Emerge_season_1,Summer,0.571428571
Agraylea,Emerge_season_2,Fall,0.142857143
Agraylea,Emerge_season_2,Summer,0.857142857
Agraylea,Emerge_synch_abbrev,Well,1
Agraylea,Feed_mode_sec,CG,0.5
Agraylea,Feed_mode_sec,HB,0.5
Agraylea,Feed_prim_abbrev,CF,0.083333333
Agraylea,Feed_prim_abbrev,CG,0.083333333
Agraylea,Feed_prim_abbrev,HB,0.75
Agraylea,Feed_prim_abbrev,SH,0.083333333
Agraylea,Female_disp_abbrev,High,1
Agraylea,Habit_prim,Climber,1
Agraylea,Max_body_size_abbrev,Small,1
Agraylea,Resp_abbrev,Tegument,1
Agraylea,Rheophily_abbrev,depo,0.25
Agraylea,Rheophily_abbrev,depo_eros,0.75
Agraylea,Thermal_pref,Cool-warm eurythermal (5-30 C),0.5
Agraylea,Thermal_pref,Warm eurythermal (15-30 C),0.5
Agraylea,Voltinism_abbrev,Univoltine,1
Agrypnia,Feed_prim_abbrev,SH,1
Agrypnia,Habit_prim,Climber,1
Agrypnia,Max_body_size_abbrev,Large,1
Agrypnia,Rheophily_abbrev,depo,1
Agrypnia,Thermal_pref,Cold-cool eurythermal (0-15 C),1
Alaskaperla,AdultFlyingStrength_abbrev,Weak,1
Alaskaperla,Emerge_season_1,Spring,0.75
Alaskaperla,Emerge_season_1,Summer,0.25
Alaskaperla,Emerge_season_2,Spring,0.25
Alaskaperla,Emerge_season_2,Summer,0.75
Alaskaperla,Emerge_synch_abbrev,Well,1
Alaskaperla,Feed_prim_abbrev,PR,1
Alaskaperla,Female_disp_abbrev,Low,1
Alaskaperla,Habit_prim,Clinger,1
Alaskaperla,Max_body_size_abbrev,Medium,0.333333333
Alaskaperla,Max_body_size_abbrev,Small,0.666666667
Alaskaperla,Resp_abbrev,Tegument,1
Alaskaperla,Rheophily_abbrev,eros,1
Alaskaperla,Thermal_pref,Cold-cool eurythermal (0-15 C),1
Alaskaperla,Voltinism_abbrev,Univoltine,1
Alisotrichia,AdultFlyingStrength_abbrev,Weak,1
Alisotrichia,Emerge_synch_abbrev,Well,1
Alisotrichia,Feed_prim_abbrev,HB,1
Alisotrichia,Female_disp_abbrev,High,1
Alisotrichia,Habit_prim,Clinger,1
Alisotrichia,Max_body_size_abbrev,Small,1
Alisotrichia,Resp_abbrev,Gills,1
Alisotrichia,Rheophily_abbrev,depo_eros,1
Alisotrichia,Thermal_pref,Cool-warm eurythermal (5-30 C),1
Alisotrichia,Voltinism_abbrev,Univoltine,1
Allocapnia,AdultFlyingStrength_abbrev,Weak,1
Allocapnia,Emerge_season_1,Fall,0.188034188
Allocapnia,Emerge_season_1,Spring,0.068376068
Allocapnia,Emerge_season_1,Summer,0.008547009
Allocapnia,Emerge_season_1,Winter,0.735042735
Allocapnia,Emerge_season_2,Fall,0.02020202
Allocapnia,Emerge_season_2,Spring,0.686868687
Allocapnia,Emerge_season_2,Summer,0.01010101
Allocapnia,Emerge_season_2,Winter,0.282828283
Allocapnia,Emerge_synch_abbrev,Well,1
Allocapnia,Feed_mode_sec,SH,1
Allocapnia,Feed_prim_abbrev,HB,0.083333333
Allocapnia,Feed_prim_abbrev,SH,0.916666667
Allocapnia,Female_disp_abbrev,Low,1
Allocapnia,Habit_prim,Clinger,0.857142857
Allocapnia,Habit_prim,Sprawler,0.142857143
Allocapnia,Habit_sec,Swimmer,1
Allocapnia,Max_body_size_abbrev,Medium,0.16
Allocapnia,Max_body_size_abbrev,Small,0.84
Allocapnia,Resp_abbrev,Tegument,1
Allocapnia,Rheophily_abbrev,depo_eros,0.148148148
Allocapnia,Rheophily_abbrev,eros,0.851851852
Allocapnia,Thermal_pref,Cold stenothermal (<5 C),0.095238095
Allocapnia,Thermal_pref,Cold-cool eurythermal (0-15 C),0.476190476
Allocapnia,Thermal_pref,Cool-warm eurythermal (5-30 C),0.380952381
Allocapnia,Thermal_pref,Hot euthermal (>30 C),0.047619048
Allocapnia,Voltinism_abbrev,Univoltine,1
Allocosmoecus,AdultFlyingStrength_abbrev,Weak,1
Allocosmoecus,Emerge_season_1,Fall,1
Allocosmoecus,Emerge_season_2,Fall,1
Allocosmoecus,Emerge_synch_abbrev,Well,1
Allocosmoecus,Feed_prim_abbrev,HB,1
Allocosmoecus,Female_disp_abbrev,Low,1
Allocosmoecus,Habit_prim,Sprawler,1
Allocosmoecus,Max_body_size_abbrev,Large,1
Allocosmoecus,Resp_abbrev,Gills,1
Allocosmoecus,Rheophily_abbrev,depo_eros,1
Allocosmoecus,Thermal_pref,Cold-cool eurythermal (0-15 C),1
Allocosmoecus,Voltinism_abbrev,Univoltine,1
Allognosta,Feed_mode_sec,CG,1
Allognosta,Feed_prim_abbrev,CG,1
Allognosta,Habit_prim,Swimmer,1
Allomyia,AdultFlyingStrength_abbrev,Weak,1
Allomyia,Emerge_season_1,Spring,0.166666667
Allomyia,Emerge_season_1,Summer,0.833333333
Allomyia,Emerge_season_2,Summer,1
Allomyia,Emerge_synch_abbrev,Well,1
Allomyia,Feed_mode_sec,HB,1
Allomyia,Feed_prim_abbrev,HB,0.5
Allomyia,Feed_prim_abbrev,SH,0.5
Allomyia,Female_disp_abbrev,Low,1
Allomyia,Habit_prim,Clinger,1
Allomyia,Max_body_size_abbrev,Medium,0.75
Allomyia,Max_body_size_abbrev,Small,0.25
Allomyia,Resp_abbrev,Gills,0.5
Allomyia,Resp_abbrev,Tegument,0.5
Allomyia,Rheophily_abbrev,eros,1
Allomyia,Thermal_pref,Cold stenothermal (<5 C),0.5
Allomyia,Thermal_pref,Cold-cool eurythermal (0-15 C),0.5
Allomyia,Voltinism_abbrev,Univoltine,1
Alloperla,AdultFlyingStrength_abbrev,Weak,1
Alloperla,Emerge_season_1,Spring,0.6875
Alloperla,Emerge_season_1,Summer,0.25
Alloperla,Emerge_season_1,Winter,0.0625
Alloperla,Emerge_season_2,Fall,0.092592593
Alloperla,Emerge_season_2,Spring,0.240740741
Alloperla,Emerge_season_2,Summer,0.648148148
Alloperla,Emerge_season_2,Winter,0.018518519
Alloperla,Emerge_synch_abbrev,Well,1
Alloperla,Feed_mode_sec,PR,1
Alloperla,Feed_prim_abbrev,CG,0.666666667
Alloperla,Feed_prim_abbrev,PR,0.333333333
Alloperla,Female_disp_abbrev,Low,1
Alloperla,Habit_prim,Clinger,1
Alloperla,Habit_sec,Swimmer,1
Alloperla,Max_body_size_abbrev,Medium,0.5
Alloperla,Max_body_size_abbrev,Small,0.5
Alloperla,Resp_abbrev,Tegument,1
Alloperla,Rheophily_abbrev,depo_eros,0.666666667
Alloperla,Rheophily_abbrev,eros,0.333333333
Alloperla,Thermal_pref,Cold-cool eurythermal (0-15 C),0.7
Alloperla,Thermal_pref,Cool-warm eurythermal (5-30 C),0.3
Alloperla,Voltinism_abbrev,Semivoltine,0.285714286
Alloperla,Voltinism_abbrev,Univoltine,0.714285714
Allotrichoma,Feed_prim_abbrev,CG,1
Allotrichoma,Habit_prim,Burrower,1
Alluaudomyia,AdultFlyingStrength_abbrev,Weak,1
Alluaudomyia,Emerge_synch_abbrev,Poorly,1
Alluaudomyia,Feed_prim_abbrev,PR,1
Alluaudomyia,Female_disp_abbrev,Low,1
Alluaudomyia,Habit_prim,Burrower,0.5
Alluaudomyia,Habit_prim,Sprawler,0.5
Alluaudomyia,Habit_sec,Planktonic,1
Alluaudomyia,Max_body_size_abbrev,Small,1
Alluaudomyia,Resp_abbrev,Tegument,1
Alluaudomyia,Rheophily_abbrev,depo_eros,1
Alluaudomyia,Voltinism_abbrev,Univoltine,1
Alotanypus,Feed_prim_abbrev,PR,1
Alotanypus,Habit_prim,Burrower,1
Alotanypus,Habit_sec,Sprawler,1
Alveotingis,Feed_prim_abbrev,HB,1
Alveotingis,Habit_prim,Skater,1
Alveotingis,Max_body_size_abbrev,Small,1
Alveotingis,Rheophily_abbrev,depo,1
Ambrysus,AdultFlyingStrength_abbrev,Weak,1
Ambrysus,Emerge_season_1,Spring,1
Ambrysus,Emerge_season_2,Summer,1
Ambrysus,Emerge_synch_abbrev,Poorly,1
Ambrysus,Feed_prim_abbrev,PR,1
Ambrysus,Female_disp_abbrev,Low,1
Ambrysus,Habit_prim,Climber,0.25
Ambrysus,Habit_prim,Clinger,0.5
Ambrysus,Habit_prim,Crawler,0.25
Ambrysus,Habit_sec,Swimmer,1
Ambrysus,Max_body_size_abbrev,Medium,0.5
Ambrysus,Max_body_size_abbrev,Small,0.5
Ambrysus,Resp_abbrev,Plastron_spiracle,1
Ambrysus,Rheophily_abbrev,eros,1
Ambrysus,Thermal_pref,Cool-warm eurythermal (5-30 C),0.333333333
Ambrysus,Thermal_pref,Warm eurythermal (15-30 C),0.666666667
Ambrysus,Voltinism_abbrev,Bi_multivoltine,1
Ameletus,AdultFlyingStrength_abbrev,Weak,1
Ameletus,Emerge_season_1,Fall,0.03125
Ameletus,Emerge_season_1,Spring,0.53125
Ameletus,Emerge_season_1,Summer,0.40625
Ameletus,Emerge_season_1,Winter,0.03125
Ameletus,Emerge_season_2,Fall,0.277777778
Ameletus,Emerge_season_2,Spring,0.333333333
Ameletus,Emerge_season_2,Summer,0.388888889
Ameletus,Emerge_synch_abbrev,Poorly,0.2
Ameletus,Emerge_synch_abbrev,Well,0.8
Ameletus,Feed_mode_sec,CG,0.5
Ameletus,Feed_mode_sec,HB,0.5
Ameletus,Feed_prim_abbrev,CG,0.5
Ameletus,Feed_prim_abbrev,HB,0.375
Ameletus,Feed_prim_abbrev,SH,0.125
Ameletus,Female_disp_abbrev,Low,1
Ameletus,Habit_prim,Burrower,0.055555556
Ameletus,Habit_prim,Clinger,0.111111111
Ameletus,Habit_prim,Swimmer,0.833333333
Ameletus,Habit_sec,Clinger,0.5
Ameletus,Habit_sec,Swimmer,0.5
Ameletus,Max_body_size_abbrev,Large,0.086956522
Ameletus,Max_body_size_abbrev,Medium,0.608695652
Ameletus,Max_body_size_abbrev,Small,0.304347826
Ameletus,Resp_abbrev,Gills,1
Ameletus,Rheophily_abbrev,depo_eros,0.545454545
Ameletus,Rheophily_abbrev,eros,0.454545455
Ameletus,Thermal_pref,Cold stenothermal (<5 C),0.083333333
Ameletus,Thermal_pref,Cold-cool eurythermal (0-15 C),0.583333333
Ameletus,Thermal_pref,Cool-warm eurythermal (5-30 C),0.25
Ameletus,Thermal_pref,Warm eurythermal (15-30 C),0.083333333
Ameletus,Voltinism_abbrev,Semivoltine,0.076923077
Ameletus,Voltinism_abbrev,Univoltine,0.923076923
Amercaenis,AdultFlyingStrength_abbrev,Weak,1
Amercaenis,Emerge_season_1,Summer,1
Amercaenis,Emerge_season_2,Fall,1
Amercaenis,Emerge_synch_abbrev,Well,1
Amercaenis,Feed_prim_abbrev,CF,1
Amercaenis,Female_disp_abbrev,Low,1
Amercaenis,Habit_prim,Sprawler,0.75
Amercaenis,Habit_prim,Swimmer,0.25
Amercaenis,Max_body_size_abbrev,Small,1
Amercaenis,Resp_abbrev,Gills,1
Amercaenis,Rheophily_abbrev,depo,1
Amercaenis,Thermal_pref,Cool-warm eurythermal (5-30 C),1
Amercaenis,Voltinism_abbrev,Univoltine,1
Americabaetis,Habit_prim,Clinger,1
Americabaetis,Max_body_size_abbrev,Small,1
Americabaetis,Thermal_pref,Warm eurythermal (15-30 C),1
Ametor,Habit_prim,Clinger,1
Ametor,Max_body_size_abbrev,Small,1
Ametropus,AdultFlyingStrength_abbrev,Weak,1
Ametropus,Emerge_season_1,Spring,1
Ametropus,Emerge_season_2,Summer,1
Ametropus,Emerge_synch_abbrev,Well,1
Ametropus,Feed_prim_abbrev,CF,1
Ametropus,Female_disp_abbrev,Low,1
Ametropus,Habit_prim,Burrower,0.6
Ametropus,Habit_prim,Clinger,0.2
Ametropus,Habit_prim,Swimmer,0.2
Ametropus,Max_body_size_abbrev,Medium,0.4
Ametropus,Max_body_size_abbrev,Small,0.6
Ametropus,Resp_abbrev,Gills,1
Ametropus,Rheophily_abbrev,depo,0.666666667
Ametropus,Rheophily_abbrev,depo_eros,0.166666667
Ametropus,Rheophily_abbrev,eros,0.166666667
Ametropus,Thermal_pref,Cold-cool eurythermal (0-15 C),1
Ametropus,Voltinism_abbrev,Univoltine,1
Amiocentrus,AdultFlyingStrength_abbrev,Weak,1
Amiocentrus,Emerge_synch_abbrev,Well,1
Amiocentrus,Feed_prim_abbrev,CF,0.2
Amiocentrus,Feed_prim_abbrev,CG,0.6
Amiocentrus,Feed_prim_abbrev,HB,0.2
