Stream,Date,replicate,chironomidae,simuliidae,plecoptera,ephemeroptera,trichopter,mites,nematoda,chaetogaster,oligochaeta,tardigrades,ostracoda,maraenobiotus_brucei,epactophanes_brucei,mesochra_alaskana,"
atheyella_sp",moraria_affinis,bryocamptus_zschokkei,bryocamptus_hiemalis,acanthocyclops_vernalis,paracyclops_poppei,eucyclops_agilis,"cyclop
s_scutifer",chydorus_sp,pleuroxus_sp,macrothrix_sp
WPC,30.05.1998,5,9104,0,0,0,0,176,16,0,800,0,16,0,0,0,0,32,0,0,0,0,0,0,0,0,0
WPC,18.05.1999,3,8784,0,0,0,0,48,16,0,32,0,0,0,0,0,0,0,0,0,192,0,0,0,0,0,0
WPC,18.05.1999,1,5248,0,0,0,0,160,0,48,112,0,48,0,0,0,0,0,0,0,128,0,0,0,0,0,0
WPC,18.05.1999,5,5424,0,0,0,0,32,0,16,32,0,0,0,0,0,0,0,0,0,560,0,0,0,0,0,0
WPC,18.05.1999,4,7408,0,0,0,0,272,0,0,688,0,48,0,0,0,0,0,0,0,272,0,0,0,0,0,0
WPC,25.08.2000,1,3200,48,0,0,0,90,16,48,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WPC,25.08.2000,2,6200,32,0,0,0,16,32,90,120,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0
WPC,25.08.2000,3,4456,86,32,0,0,48,16,32,96,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0
WPC,25.08.2000,4,9600,56,16,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WPC,25.08.2000,5,5058,90,32,0,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WPC,15.06.2001,2,4704,32,0,0,0,0,256,2848,704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WPC,15.06.2001,5,6688,0,0,0,32,0,32,4544,96,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0
WPC,15.06.2001,4,9392,80,16,0,16,272,112,10208,2512,0,32,0,0,0,0,0,0,0,160,0,0,0,0,0,0
WPC,15.06.2001,1,12128,32,0,32,0,224,1056,12960,1728,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WPC,15.06.2001,3,10240,32,0,0,32,32,160,8000,96,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0
WPC,25.05.2002,3,432,208,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0
WPC,25.05.2002,2,1200,192,0,0,0,16,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WPC,25.05.2002,1,880,128,0,0,0,48,16,0,16,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0
WPC,25.05.2002,5,704,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0
WPC,25.05.2002,4,1568,16,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,224,0,0,0,0,0,0
WPC,31.08.2003,3,7040,0,160,0,0,640,0,0,320,0,0,0,0,0,0,0,0,0,640,0,0,0,0,0,0
WPC,31.08.2003,1,5760,480,160,0,0,384,0,0,0,0,0,0,0,0,0,0,0,0,320,0,0,0,0,0,0
WPC,31.08.2003,7,2720,0,0,0,0,640,0,0,0,0,0,0,0,0,0,0,0,0,160,0,0,0,0,0,0
WPC,31.08.2003,4,5600,320,0,0,0,1120,0,0,0,0,0,0,0,0,0,0,0,0,160,0,0,0,0,0,0
WPC,31.08.2003,2,4320,0,0,0,0,320,0,0,0,0,0,0,0,0,0,0,0,0,320,0,0,0,0,0,0
WPC,31.08.2003,6,4960,640,0,0,0,320,0,0,0,0,0,0,0,0,0,0,0,0,160,0,0,0,0,0,0
WPC,31.08.2003,3,8160,0,0,0,0,1760,0,0,0,0,0,0,0,0,0,0,0,0,160,0,0,0,0,0,0
WPC,31.08.2003,8,4160,640,0,0,0,800,0,0,0,0,0,0,0,0,0,0,0,0,640,0,0,0,0,0,0
WPC,31.08.2003,10,3680,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,0,0,0,0,0,0
WPC,31.08.2003,9,960,160,0,0,0,320,0,0,0,0,0,0,0,0,0,0,0,0,160,0,0,0,0,0,0
WPC,01.07.2004,1,512,1056,0,0,32,384,0,0,704,0,0,0,0,0,0,0,0,0,0,0,0,160,0,0,0
WPC,01.07.2004,3,4320,992,0,0,0,576,0,0,320,0,0,0,0,0,0,0,0,0,32,0,0,352,0,0,0
WPC,01.07.2004,4,2752,160,0,0,0,480,0,0,160,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0
WPC,01.07.2004,6,2272,256,32,0,0,256,0,0,256,0,0,0,0,0,0,0,0,0,0,0,0,160,0,0,0
WPC,01.07.2004,7,10112,192,32,0,0,1088,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0
WPC,29.05.2006,1,576,32,0,0,0,0,32,32,0,0,0,0,0,0,0,0,0,0,640,0,0,0,0,0,0
WPC,29.05.2006,2,288,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,608,0,0,0,0,0,0
WPC,29.05.2006,3,256,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,224,0,0,0,0,0,0
WPC,29.05.2006,4,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,576,0,0,0,0,0,0
WPC,29.05.2006,5,576,32,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,320,0,0,0,0,0,0
WPC,07.09.2006,8,512,0,0,0,0,0,0,96,128,32,0,0,0,0,0,0,0,0,736,0,0,0,0,0,0
WPC,07.09.2006,6,3072,192,32,0,0,64,32,6944,192,0,0,32,0,0,0,0,0,0,448,0,0,0,32,0,0
WPC,07.09.2006,4,1952,32,32,0,0,0,0,896,0,0,0,0,0,0,0,0,0,0,800,0,0,0,0,0,0
WPC,07.09.2006,1,1952,64,0,0,0,0,0,1344,0,0,0,0,0,0,0,0,0,0,3936,0,0,0,32,0,0
WPC,10.08.2007,5,4096,128,0,0,0,0,128,0,0,0,0,128,0,0,0,0,128,0,5760,0,0,0,0,0,0
WPC,10.08.2007,1,6784,192,64,0,0,0,0,256,256,0,0,0,0,0,0,0,0,0,2240,0,0,0,0,0,0
WPC,10.08.2007,2,4352,192,0,0,0,0,64,0,256,0,0,0,0,0,0,0,0,0,1408,0,0,0,0,0,0
WPC,10.08.2007,4,3136,64,0,0,0,64,64,0,64,0,0,0,0,0,0,0,0,0,2048,0,0,0,0,0,0
WPC,10.08.2007,3,7424,512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4096,0,0,0,0,0,0
WPC,07.09.2007,3,5184,0,32,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,224,0,0,0,0,0,0
WPC,07.09.2007,4,1856,64,32,0,0,96,0,96,640,0,0,0,0,0,0,0,0,0,64,0,0,32,0,0,0
WPC,07.09.2007,6,1632,160,32,0,0,32,0,1120,800,0,0,0,0,0,0,0,32,0,32,0,0,192,32,0,0
WPC,07.09.2007,8,512,32,0,0,0,0,0,64,160,0,0,0,0,0,0,0,0,0,0,0,0,512,0,0,0
WPC,07.09.2007,10,1152,160,0,0,0,32,64,96,384,0,0,0,0,0,0,0,0,0,0,0,0,544,0,0,0
WPC,15.08.2008,1,448,32,16,16,0,16,16,400,16,0,0,0,0,0,0,0,0,0,1616,0,176,0,0,0,16
WPC,15.08.2008,2,528,80,48,16,0,48,0,192,112,16,16,16,0,0,0,0,0,0,2048,0,96,0,0,0,32
WPC,15.08.2008,3,720,0,112,32,0,48,32,1104,1104,0,16,0,0,0,0,0,16,0,1664,0,0,0,0,0,32
WPC,15.08.2008,4,800,32,112,0,0,80,16,1216,800,0,0,0,0,0,0,0,0,0,1984,0,0,0,0,16,80
WPC,15.08.2008,5,600,48,70,16,0,32,16,800,650,0,16,16,0,0,0,0,0,0,1686,0,32,0,0,0,48
